Description,Item#,Seg,Seq#,Len,DT,Rep,Table,Chapter
Ordering Provider Address ,01314,ORC,24,250,XAD,Y,,4.5.1.24
Order Status Modifier ,01473,ORC,25,250,CWE,,,4.5.1.25
Advanced Beneficiary Notice Override Reason,01641,ORC,26,60,CWE,,0552,4.5.1.26
Filler's Expected Availability Date/Time ,01642,ORC,27,26,TS,,,4.5.1.27
Confidentiality Code ,00615,ORC,28,250,CWE,,0177,4.5.1.28
Order Type ,01643,ORC,29,250,CWE,,0482,4.5.1.29
Enterer Authorization Mode ,01644,ORC,30,250,CNE,,0483,4.5.1.30
Parent Universal Service Identifier ,02286,ORC,31,250,CWE,,,4.5.1.31
Set ID - ORG ,01459,ORG,1,60,SI,,,15.4.5.1
Organization Unit Code ,01460,ORG,2,250,CE,,0405,15.4.5.2
Organization Unit Type Code ,01625,ORG,3,250,CE,,0474,15.4.5.3
Primary Org Unit Indicator ,01462,ORG,4,1,ID,,0136,15.4.5.4
Practitioner Org Unit Identifier ,01463,ORG,5,60,CX,,,15.4.5.5
Health Care Provider Type Code ,01464,ORG,6,250,CE,,0452,15.4.5.6
Health Care Provider Classification Code ,01614,ORG,7,250,CE,,0453,15.4.5.7
Health Care Provider Area of Specialization Code,01615,ORG,8,250,CE,,0454,15.4.5.8
Effective Date Range ,01465,ORG,9,52,DR,,,15.4.5.9
Employment Status Code ,01276,ORG,10,250,CE,,0066,15.4.5.10
Board Approval Indicator ,01467,ORG,11,1,ID,,0136,15.4.5.11
Primary Care Physician Indicator ,01468,ORG,12,1,ID,,0136,15.4.5.12
Business Rule Override Type ,01829,OVR,1,705,CWE,,0518,2.15.11.1
Business Rule Override Code ,01830,OVR,2,705,CWE,,0521,2.15.11.2
Override Comments ,01831,OVR,3,200,TX,,,2.15.11.3
Override Entered By ,01832,OVR,4,250,XCN,,,2.15.11.4
Override Authorized By ,01833,OVR,5,250,XCN,,,2.15.11.5
Implicated Product ,01098,PCR,1,250,CE,,,7.12.3.1
Generic Product ,01099,PCR,2,1,IS,,0249,7.12.3.2
Product Class ,01100,PCR,3,250,CE,,,7.12.3.3
Total Duration Of Therapy ,01101,PCR,4,8,CQ,,,7.12.3.4
Product Manufacture Date ,01102,PCR,5,26,TS,,,7.12.3.5
Product Expiration Date ,01103,PCR,6,26,TS,,,7.12.3.6
Product Implantation Date ,01104,PCR,7,26,TS,,,7.12.3.7
Product Explantation Date ,01105,PCR,8,26,TS,,,7.12.3.8
Single Use Device ,01106,PCR,9,8,IS,,0244,7.12.3.9
Indication For Product Use ,01107,PCR,10,250,CE,,,7.12.3.10
Product Problem ,01108,PCR,11,8,IS,,0245,7.12.3.11
Product Serial/Lot Number ,01109,PCR,12,30,ST,Y,,7.12.3.12
Product Available For Inspection ,01110,PCR,13,1,IS,,0246,7.12.3.13
Product Evaluation Performed ,01111,PCR,14,250,CE,,,7.12.3.14
Product Evaluation Status ,01112,PCR,15,250,CE,,0247,7.12.3.15
Product Evaluation Results ,01113,PCR,16,250,CE,,,7.12.3.16
Evaluated Product Source ,01114,PCR,17,8,ID,,0248,7.12.3.17
Date Product Returned To Manufacturer ,01115,PCR,18,26,TS,,,7.12.3.18
Device Operator Qualifications ,01116,PCR,19,1,ID,,0242,7.12.3.19
Relatedness Assessment ,01117,PCR,20,1,ID,,0250,7.12.3.20
Action Taken In Response To The Event ,01118,PCR,21,2,ID,Y,0251,7.12.3.21
Event Causality Observations ,01119,PCR,22,2,ID,Y,0252,7.12.3.22
Indirect Exposure Mechanism ,01120,PCR,23,1,ID,Y,0253,7.12.3.23
Living Dependency ,00755,PD1,1,2,IS,Y,0223,3.4.10.1
Living Arrangement ,00742,PD1,2,2,IS,,0220,3.4.10.2
Patient Primary Facility ,00756,PD1,3,250,XON,Y,,3.4.10.3
Patient Primary Care Provider Name & ID No.,00757,PD1,4,250,XCN,Y,,3.4.10.4
Student Indicator ,00745,PD1,5,2,IS,,0231,3.4.10.5
Handicap ,00753,PD1,6,2,IS,,0295,3.4.10.6
Living Will Code ,00759,PD1,7,2,IS,,0315,3.4.10.7
Organ Donor Code ,00760,PD1,8,2,IS,,0316,3.4.10.8
Separate Bill ,00761,PD1,9,1,ID,,0136,3.4.10.9
Duplicate Patient ,00762,PD1,10,250,CX,Y,,3.4.10.10
Publicity Code ,00743,PD1,11,250,CE,,0215,3.4.10.11
Protection Indicator ,00744,PD1,12,1,ID,,0136,3.4.10.12
Protection Indicator Effective Date ,01566,PD1,13,8,DT,,,3.4.10.13
Place of Worship ,01567,PD1,14,250,XON,Y,,3.4.10.14
Advance Directive Code ,01568,PD1,15,250,CE,Y,0435,3.4.10.15
Immunization Registry Status ,01569,PD1,16,1,IS,,0441,3.4.10.16
Immunization Registry Status Effective Date ,01570,PD1,17,8,DT,,,3.4.10.17
Publicity Code Effective Date ,01571,PD1,18,8,DT,,,3.4.10.18
Military Branch ,01572,PD1,19,5,IS,,0140,3.4.10.19
Military Rank/Grade ,00486,PD1,20,2,IS,,0141,3.4.10.20
Military Status ,01573,PD1,21,3,IS,,0142,3.4.10.21
Death Cause Code ,01574,PDA,1,250,CE,Y,,3.4.12.1
Death Location ,01575,PDA,2,80,PL,,,3.4.12.2
Death Certified Indicator ,01576,PDA,3,1,ID,,0136,3.4.12.3
Death Certificate Signed Date/Time ,01577,PDA,4,26,TS,,,3.4.12.4
Death Certified By ,01578,PDA,5,250,XCN,,,3.4.12.5
Autopsy Indicator ,01579,PDA,6,1,ID,,0136,3.4.12.6
Autopsy Start and End Date/Time ,01580,PDA,7,53,DR,,,3.4.12.7
Autopsy Performed By ,01581,PDA,8,250,XCN,,,3.4.12.8
Coroner Indicator ,01582,PDA,9,1,ID,,0136,3.4.12.9
Manufacturer/Distributor ,01247,PDC,1,250,XON,Y,,7.12.5.1
Country ,01248,PDC,2,250,CE,,,7.12.5.2
Brand Name ,01249,PDC,3,60,ST,,,7.12.5.3
Device Family Name ,01250,PDC,4,60,ST,,,7.12.5.4
Generic Name ,01251,PDC,5,250,CE,,,7.12.5.5
Model Identifier ,01252,PDC,6,60,ST,Y,,7.12.5.6
Catalogue Identifier ,01253,PDC,7,60,ST,,,7.12.5.7
Other Identifier ,01254,PDC,8,60,ST,Y,,7.12.5.8
Product Code ,01255,PDC,9,250,CE,,,7.12.5.9
Marketing Basis ,01256,PDC,10,4,ID,,0330,7.12.5.10
Marketing Approval ID ,01257,PDC,11,60,ST,,,7.12.5.11
Labeled Shelf Life ,01258,PDC,12,12,CQ,,,7.12.5.12
Expected Shelf Life ,01259,PDC,13,12,CQ,,,7.12.5.13
Date First Marketed ,01260,PDC,14,26,TS,,,7.12.5.14
Date Last Marketed ,01261,PDC,15,26,TS,,,7.12.5.15
Event Identifiers Used ,01073,PEO,1,250,CE,Y,,7.12.2.1
Event Symptom/Diagnosis Code ,01074,PEO,2,250,CE,Y,,7.12.2.2
Event Onset Date/Time ,01075,PEO,3,26,TS,,,7.12.2.3
Event Exacerbation Date/Time ,01076,PEO,4,26,TS,,,7.12.2.4
Event Improved Date/Time ,01077,PEO,5,26,TS,,,7.12.2.5
Event Ended Data/Time ,01078,PEO,6,26,TS,,,7.12.2.6
Event Location Occurred Address ,01079,PEO,7,250,XAD,Y,,7.12.2.7
Event Qualification ,01080,PEO,8,1,ID,Y,0237,7.12.2.8
Event Serious ,01081,PEO,9,1,ID,,0238,7.12.2.9
Event Expected ,01082,PEO,10,1,ID,,0239,7.12.2.10
Event Outcome ,01083,PEO,11,1,ID,Y,0240,7.12.2.11
Patient Outcome ,01084,PEO,12,1,ID,,0241,7.12.2.12
Event Description From Others ,01085,PEO,13,600,FT,Y,,7.12.2.13
Event From Original Reporter ,01086,PEO,14,600,FT,Y,,7.12.2.14
Event Description From Patient ,01087,PEO,15,600,FT,Y,,7.12.2.15
Event Description From Practitioner ,01088,PEO,16,600,FT,Y,,7.12.2.16
Event Description From Autopsy ,01089,PEO,17,600,FT,Y,,7.12.2.17
Cause Of Death ,01090,PEO,18,250,CE,Y,,7.12.2.18
Primary Observer Name ,01091,PEO,19,250,XPN,Y,,7.12.2.19
Primary Observer Address ,01092,PEO,20,250,XAD,Y,,7.12.2.20
Primary Observer Telephone ,01093,PEO,21,250,XTN,Y,,7.12.2.21
Primary Observer's Qualification ,01094,PEO,22,1,ID,,0242,7.12.2.22
Confirmation Provided By ,01095,PEO,23,1,ID,,0242,7.12.2.23
Primary Observer Aware Date/Time ,01096,PEO,24,26,TS,,,7.12.2.24
Primary Observer's identity May Be Divulged ,01097,PEO,25,1,ID,,0243,7.12.2.25
Sender Organization Name ,01059,PES,1,250,XON,Y,,7.12.1.1
Sender Individual Name ,01060,PES,2,250,XCN,Y,,7.12.1.2
Sender Address ,01062,PES,3,250,XAD,Y,,7.12.1.3
Sender Telephone ,01063,PES,4,250,XTN,Y,,7.12.1.4
Sender Event Identifier ,01064,PES,5,75,EI,,,7.12.1.5
Sender Sequence Number ,01065,PES,6,2,NM,,,7.12.1.6
Sender Event Description ,01066,PES,7,600,FT,Y,,7.12.1.7
Sender Comment ,01067,PES,8,600,FT,,,7.12.1.8
Sender Aware Date/Time ,01068,PES,9,26,TS,,,7.12.1.9
Event Report Date ,01069,PES,10,26,TS,,,7.12.1.10
Event Report Timing/Type ,01070,PES,11,3,ID,Y,0234,7.12.1.11
Event Report Source ,01071,PES,12,1,ID,,0235,7.12.1.12
Event Reported To ,01072,PES,13,1,ID,Y,0236,7.12.1.13
Set ID - PID ,00104,PID,1,4,SI,,,3.4.2.1
Patient ID ,00105,PID,2,20,CX,,,3.4.2.2
Patient Identifier List ,00106,PID,3,250,CX,Y,,3.4.2.3
Alternate Patient ID - PID ,00107,PID,4,20,CX,Y,,3.4.2.4
Patient Name ,00108,PID,5,250,XPN,Y,,3.4.2.5
Mother's Maiden Name ,00109,PID,6,250,XPN,Y,,3.4.2.6
Date/Time of Birth ,00110,PID,7,26,TS,,,3.4.2.7
Administrative Sex ,00111,PID,8,1,IS,,0001,3.4.2.8
Patient Alias ,00112,PID,9,250,XPN,Y,,3.4.2.9
Race ,00113,PID,10,250,CE,Y,0005,3.4.2.10
Patient Address ,00114,PID,11,250,XAD,Y,,3.4.2.11
County Code ,00115,PID,12,4,IS,,0289,3.4.2.12
Phone Number - Home ,00116,PID,13,250,XTN,Y,,3.4.2.13
Phone Number - Business ,00117,PID,14,250,XTN,Y,,3.4.2.14
Primary Language ,00118,PID,15,250,CE,,0296,3.4.2.15
Marital Status ,00119,PID,16,250,CE,,0002,3.4.2.16
Religion ,00120,PID,17,250,CE,,0006,3.4.2.17
Patient Account Number ,00121,PID,18,250,CX,,,3.4.2.18
SSN Number - Patient ,00122,PID,19,16,ST,,,3.4.2.19
Driver's License Number - Patient ,00123,PID,20,25,DLN,,,3.4.2.20
Mother's Identifier ,00124,PID,21,250,CX,Y,,3.4.2.21
Ethnic Group ,00125,PID,22,250,CE,Y,0189,3.4.2.22
Birth Place ,00126,PID,23,250,ST,,,3.4.2.23
Multiple Birth Indicator ,00127,PID,24,1,ID,,0136,3.4.2.24
Birth Order ,00128,PID,25,2,NM,,,3.4.2.25
Citizenship ,00129,PID,26,250,CE,Y,0171,3.4.2.26
Veterans Military Status ,00130,PID,27,250,CE,,0172,3.4.2.27
Nationality ,00739,PID,28,250,CE,,0212,3.4.2.28
Patient Death Date and Time ,00740,PID,29,26,TS,,,3.4.2.29
Patient Death Indicator ,00741,PID,30,1,ID,,0136,3.4.2.30
Identity Unknown Indicator ,01535,PID,31,1,ID,,0136,3.4.2.31
Identity Reliability Code ,01536,PID,32,20,IS,Y,0445,3.4.2.32
Last Update Date/Time ,01537,PID,33,26,TS,,,3.4.2.33
Last Update Facility ,01538,PID,34,241,HD,,,3.4.2.34
Species Code ,01539,PID,35,250,CE,,0446,3.4.2.35
Breed Code ,01540,PID,36,250,CE,,0447,3.4.2.36
Strain ,01541,PID,37,80,ST,,,3.4.2.37
Production Class Code ,01542,PID,38,250,CE,,0429,3.4.2.38
Tribal Citizenship ,01840,PID,39,250,CWE,Y,0171,3.4.2.39
Set ID - PR1 ,00391,PR1,1,4,SI,,,6.5.4.1
Procedure Coding Method ,00392,PR1,2,3,IS,,0089,6.5.4.2
Procedure Code ,00393,PR1,3,250,CE,,0088,6.5.4.3
Procedure Description ,00394,PR1,4,40,ST,,,6.5.4.4
Procedure Date/Time ,00395,PR1,5,26,TS,,,6.5.4.5
Procedure Functional Type ,00396,PR1,6,2,IS,,0230,6.5.4.6
Procedure Minutes ,00397,PR1,7,4,NM,,,6.5.4.7
Anesthesiologist ,00398,PR1,8,250,XCN,Y,0010,6.5.4.8
Anesthesia Code ,00399,PR1,9,2,IS,,0019,6.5.4.9
Anesthesia Minutes ,00400,PR1,10,4,NM,,,6.5.4.10
Surgeon ,00401,PR1,11,250,XCN,Y,0010,6.5.4.11
Procedure Practitioner ,00402,PR1,12,250,XCN,Y,0010,6.5.4.12
Consent Code ,00403,PR1,13,250,CE,,0059,6.5.4.13
Procedure Priority ,00404,PR1,14,2,ID,,0418,6.5.4.14
Associated Diagnosis Code ,00772,PR1,15,250,CE,,0051,6.5.4.15
Procedure Code Modifier ,01316,PR1,16,250,CE,Y,0340,6.5.4.16
Procedure DRG Type ,01501,PR1,17,20,IS,,0416,6.5.4.17
Tissue Type Code ,01502,PR1,18,250,CE,Y,0417,6.5.4.18
Procedure Identifier ,01848,PR1,19,427,EI,,,6.5.4.19
Procedure Action Code ,01849,PR1,20,1,ID,,0206,6.5.4.20
Primary Key Value - PRA ,00685,PRA,1,250,CE,,9999,15.4.6.1
Practitioner Group ,00686,PRA,2,250,CE,Y,0358,15.4.6.2
Practitioner Category ,00687,PRA,3,3,IS,Y,0186,15.4.6.3
Provider Billing ,00688,PRA,4,1,ID,,0187,15.4.6.4
Specialty ,00689,PRA,5,112,SPD,Y,0337,15.4.6.5
Practitioner ID Numbers ,00690,PRA,6,99,PLN,Y,0338,15.4.6.6
Privileges ,00691,PRA,7,770,PIP,Y,,15.4.6.7
Date Entered Practice ,01296,PRA,8,8,DT,,,15.4.6.8
Institution ,01613,PRA,9,250,CE,,0537,15.4.6.9
Date Left Practice ,01348,PRA,10,8,DT,,,15.4.6.10
Government Reimbursement Billing Eligibility,01388,PRA,11,250,CE,Y,0401,15.4.6.11
Set ID - PRA ,01616,PRA,12,60,SI,,,15.4.6.12
Action Code ,00816,PRB,1,2,ID,,0287,12.4.2.1
Action Date/Time ,00817,PRB,2,26,TS,,,12.4.2.2
Problem ID ,00838,PRB,3,250,CE,,,12.4.2.3
Problem Instance ID ,00839,PRB,4,60,EI,,,12.4.2.4
Episode of Care ID ,00820,PRB,5,60,EI,,,12.4.2.5
Problem List Priority ,00841,PRB,6,60,NM,,,12.4.2.6
Problem Established Date/Time ,00842,PRB,7,26,TS,,,12.4.2.7
Anticipated Problem Resolution Date/Time ,00843,PRB,8,26,TS,,,12.4.2.8
Actual Problem Resolution Date/Time ,00844,PRB,9,26,TS,,,12.4.2.9
Problem Classification ,00845,PRB,10,250,CE,,,12.4.2.10
Problem Management Discipline ,00846,PRB,11,250,CE,Y,,12.4.2.11
Problem Persistence ,00847,PRB,12,250,CE,,,12.4.2.12
Problem Confirmation Status ,00848,PRB,13,250,CE,,,12.4.2.13
Problem Life Cycle Status ,00849,PRB,14,250,CE,,,12.4.2.14
Problem Life Cycle Status Date/Time ,00850,PRB,15,26,TS,,,12.4.2.15
Problem Date of Onset ,00851,PRB,16,26,TS,,,12.4.2.16
Problem Onset Text ,00852,PRB,17,80,ST,,,12.4.2.17
Problem Ranking ,00853,PRB,18,250,CE,,,12.4.2.18
Certainty of Problem ,00854,PRB,19,250,CE,,,12.4.2.19
Probability of Problem (0-1) ,00855,PRB,20,5,NM,,,12.4.2.20
Individual Awareness of Problem ,00856,PRB,21,250,CE,,,12.4.2.21
Problem Prognosis ,00857,PRB,22,250,CE,,,12.4.2.22
Individual Awareness of Prognosis ,00858,PRB,23,250,CE,,,12.4.2.23
Family/Significant Other Awareness of Problem/Prognosis,00859,PRB,24,200,ST,,,12.4.2.24
Security/Sensitivity ,00823,PRB,25,250,CE,,,12.4.2.25
Primary Key Value - PRC ,00982,PRC,1,250,CE,,0132,8.10.3.1
Facility ID - PRC ,00995,PRC,2,250,CE,Y,0464,8.10.3.2
Department ,00676,PRC,3,250,CE,Y,0184,8.10.3.3
Valid Patient Classes ,00967,PRC,4,1,IS,Y,0004,8.10.3.4
Price ,00998,PRC,5,12,CP,Y,,8.10.3.5
Formula ,00999,PRC,6,200,ST,Y,,8.10.3.6
Minimum Quantity ,01000,PRC,7,4,NM,,,8.10.3.7
Maximum Quantity ,01001,PRC,8,4,NM,,,8.10.3.8
Minimum Price ,01002,PRC,9,12,MO,,,8.10.3.9
Maximum Price ,01003,PRC,10,12,MO,,,8.10.3.10
Effective Start Date ,01004,PRC,11,26,TS,,,8.10.3.11
Effective End Date ,01005,PRC,12,26,TS,,,8.10.3.12
Price Override Flag ,01006,PRC,13,1,IS,,0268,8.10.3.13
Billing Category ,01007,PRC,14,250,CE,Y,0293,8.10.3.14
Chargeable Flag ,01008,PRC,15,1,ID,,0136,8.10.3.15
Active/Inactive Flag ,00675,PRC,16,1,ID,,0183,8.10.3.16
Cost ,00989,PRC,17,12,MO,,,8.10.3.17
Charge On Indicator ,01009,PRC,18,1,IS,,0269,8.10.3.18
Provider Role ,01155,PRD,1,250,CE,Y,0286,11.6.3.1
Provider Name ,01156,PRD,2,250,XPN,Y,,11.6.3.2
Provider Address ,01157,PRD,3,250,XAD,Y,,11.6.3.3
Provider Location ,01158,PRD,4,60,PL,,,11.6.3.4
Provider Communication Information ,01159,PRD,5,250,XTN,Y,,11.6.3.5
Preferred Method of Contact ,00684,PRD,6,250,CE,,0185,11.6.3.6
Provider Identifiers ,01162,PRD,7,100,PLN,Y,,11.6.3.7
Effective Start Date of Provider Role ,01163,PRD,8,26,TS,,,11.6.3.8
Effective End Date of Provider Role ,01164,PRD,9,26,TS,,,11.6.3.9
Report Type ,01233,PSH,1,60,ST,,,7.12.4.1
Report Form Identifier ,01297,PSH,2,60,ST,,,7.12.4.2
Report Date ,01235,PSH,3,26,TS,,,7.12.4.3
Report Interval Start Date ,01236,PSH,4,26,TS,,,7.12.4.4
Report Interval End Date ,01237,PSH,5,26,TS,,,7.12.4.5
Quantity Manufactured ,01238,PSH,6,12,CQ,,,7.12.4.6
Quantity Distributed ,01239,PSH,7,12,CQ,,,7.12.4.7
Quantity Distributed Method ,01240,PSH,8,1,ID,,0329,7.12.4.8
Quantity Distributed Comment ,01241,PSH,9,600,FT,,,7.12.4.9
Quantity in Use ,01242,PSH,10,12,CQ,,,7.12.4.10
Quantity in Use Method ,01243,PSH,11,1,ID,,0329,7.12.4.11
Quantity in Use Comment ,01244,PSH,12,600,FT,,,7.12.4.12
Number of Product Experience Reports Filed by Facility,01245,PSH,13,2,NM,Y,,7.12.4.13
Number of Product Experience Reports Filed by Distributor,01246,PSH,14,2,NM,Y,,7.12.4.14
Action Code ,00816,PTH,1,2,ID,,0287,12.4.4.1
Pathway ID ,01207,PTH,2,250,CE,,,12.4.4.2
Pathway Instance ID ,01208,PTH,3,60,EI,,,12.4.4.3
Pathway Established Date/Time ,01209,PTH,4,26,TS,,,12.4.4.4
Pathway Life Cycle Status ,01210,PTH,5,250,CE,,,12.4.4.5
Change Pathway Life Cycle Status Date/Time ,01211,PTH,6,26,TS,,,12.4.4.6
Set ID - PV1 ,00131,PV1,1,4,SI,,,3.4.3.1
Patient Class ,00132,PV1,2,1,IS,,0004,3.4.3.2
Assigned Patient Location ,00133,PV1,3,80,PL,,,3.4.3.3
Admission Type ,00134,PV1,4,2,IS,,0007,3.4.3.4
Preadmit Number ,00135,PV1,5,250,CX,,,3.4.3.5
Prior Patient Location ,00136,PV1,6,80,PL,,,3.4.3.6
Attending Doctor ,00137,PV1,7,250,XCN,Y,0010,3.4.3.7
Referring Doctor ,00138,PV1,8,250,XCN,Y,0010,3.4.3.8
Consulting Doctor ,00139,PV1,9,250,XCN,Y,0010,3.4.3.9
Hospital Service ,00140,PV1,10,3,IS,,0069,3.4.3.10
Temporary Location ,00141,PV1,11,80,PL,,,3.4.3.11
Preadmit Test Indicator ,00142,PV1,12,2,IS,,0087,3.4.3.12
Re-admission Indicator ,00143,PV1,13,2,IS,,0092,3.4.3.13
Admit Source ,00144,PV1,14,6,IS,,0023,3.4.3.14
Ambulatory Status ,00145,PV1,15,2,IS,Y,0009,3.4.3.15
VIP Indicator ,00146,PV1,16,2,IS,,0099,3.4.3.16
Admitting Doctor ,00147,PV1,17,250,XCN,Y,0010,3.4.3.17
Patient Type ,00148,PV1,18,2,IS,,0018,3.4.3.18
Visit Number ,00149,PV1,19,250,CX,,,3.4.3.19
Financial Class ,00150,PV1,20,50,FC,Y,0064,3.4.3.20
Charge Price Indicator ,00151,PV1,21,2,IS,,0032,3.4.3.21
Courtesy Code ,00152,PV1,22,2,IS,,0045,3.4.3.22
Credit Rating ,00153,PV1,23,2,IS,,0046,3.4.3.23
Contract Code ,00154,PV1,24,2,IS,Y,0044,3.4.3.24
Contract Effective Date ,00155,PV1,25,8,DT,Y,,3.4.3.25
Contract Amount ,00156,PV1,26,12,NM,Y,,3.4.3.26
Contract Period ,00157,PV1,27,3,NM,Y,,3.4.3.27
Interest Code ,00158,PV1,28,2,IS,,0073,3.4.3.28
Transfer to Bad Debt Code ,00159,PV1,29,4,IS,,0110,3.4.3.29
Transfer to Bad Debt Date ,00160,PV1,30,8,DT,,,3.4.3.30
Bad Debt Agency Code ,00161,PV1,31,10,IS,,0021,3.4.3.31
Bad Debt Transfer Amount ,00162,PV1,32,12,NM,,,3.4.3.32
Bad Debt Recovery Amount ,00163,PV1,33,12,NM,,,3.4.3.33
Delete Account Indicator ,00164,PV1,34,1,IS,,0111,3.4.3.34
Delete Account Date ,00165,PV1,35,8,DT,,,3.4.3.35
Discharge Disposition ,00166,PV1,36,3,IS,,0112,3.4.3.36
Discharged to Location ,00167,PV1,37,47,DLD,,0113,3.4.3.37
Diet Type ,00168,PV1,38,250,CE,,0114,3.4.3.38
Servicing Facility ,00169,PV1,39,2,IS,,0115,3.4.3.39
Bed Status ,00170,PV1,40,1,IS,,0116,3.4.3.40
Account Status ,00171,PV1,41,2,IS,,0117,3.4.3.41
Pending Location ,00172,PV1,42,80,PL,,,3.4.3.42
Prior Temporary Location ,00173,PV1,43,80,PL,,,3.4.3.43
Admit Date/Time ,00174,PV1,44,26,TS,,,3.4.3.44
Discharge Date/Time ,00175,PV1,45,26,TS,Y,,3.4.3.45
Current Patient Balance ,00176,PV1,46,12,NM,,,3.4.3.46
Total Charges ,00177,PV1,47,12,NM,,,3.4.3.47
Total Adjustments ,00178,PV1,48,12,NM,,,3.4.3.48
Total Payments ,00179,PV1,49,12,NM,,,3.4.3.49
Alternate Visit ID ,00180,PV1,50,250,CX,,0203,3.4.3.50
Visit Indicator ,01226,PV1,51,1,IS,,0326,3.4.3.51
Other Healthcare Provider ,01274,PV1,52,250,XCN,Y,0010,3.4.3.52
Prior Pending Location ,00181,PV2,1,80,PL,,,3.4.4.1
Accommodation Code ,00182,PV2,2,250,CE,,0129,3.4.4.2
Admit Reason ,00183,PV2,3,250,CE,,,3.4.4.3
Transfer Reason ,00184,PV2,4,250,CE,,,3.4.4.4
Patient Valuables ,00185,PV2,5,25,ST,Y,,3.4.4.5
Patient Valuables Location ,00186,PV2,6,25,ST,,,3.4.4.6
Visit User Code ,00187,PV2,7,2,IS,Y,0130,3.4.4.7
Expected Admit Date/Time ,00188,PV2,8,26,TS,,,3.4.4.8
Expected Discharge Date/Time ,00189,PV2,9,26,TS,,,3.4.4.9
Estimated Length of Inpatient Stay ,00711,PV2,10,3,NM,,,3.4.4.10
Actual Length of Inpatient Stay ,00712,PV2,11,3,NM,,,3.4.4.11
Visit Description ,00713,PV2,12,50,ST,,,3.4.4.12
Referral Source Code ,00714,PV2,13,250,XCN,Y,,3.4.4.13
Previous Service Date ,00715,PV2,14,8,DT,,,3.4.4.14
Employment Illness Related Indicator ,00716,PV2,15,1,ID,,0136,3.4.4.15
Purge Status Code ,00717,PV2,16,1,IS,,0213,3.4.4.16
Purge Status Date ,00718,PV2,17,8,DT,,,3.4.4.17
Special Program Code ,00719,PV2,18,2,IS,,0214,3.4.4.18
Retention Indicator ,00720,PV2,19,1,ID,,0136,3.4.4.19
Expected Number of Insurance Plans ,00721,PV2,20,1,NM,,,3.4.4.20
Visit Publicity Code ,00722,PV2,21,1,IS,,0215,3.4.4.21
Visit Protection Indicator ,00723,PV2,22,1,ID,,0136,3.4.4.22
Clinic Organization Name ,00724,PV2,23,250,XON,Y,,3.4.4.23
Patient Status Code ,00725,PV2,24,2,IS,,0216,3.4.4.24
Visit Priority Code ,00726,PV2,25,1,IS,,0217,3.4.4.25
Previous Treatment Date ,00727,PV2,26,8,DT,,,3.4.4.26
Expected Discharge Disposition ,00728,PV2,27,2,IS,,0112,3.4.4.27
Signature on File Date ,00729,PV2,28,8,DT,,,3.4.4.28
First Similar Illness Date ,00730,PV2,29,8,DT,,,3.4.4.29
Patient Charge Adjustment Code ,00731,PV2,30,250,CE,,0218,3.4.4.30
Recurring Service Code ,00732,PV2,31,2,IS,,0219,3.4.4.31
Billing Media Code ,00733,PV2,32,1,ID,,0136,3.4.4.32
Expected Surgery Date and Time ,00734,PV2,33,26,TS,,,3.4.4.33
Military Partnership Code ,00735,PV2,34,1,ID,,0136,3.4.4.34
Military Non-Availability Code ,00736,PV2,35,1,ID,,0136,3.4.4.35
Newborn Baby Indicator ,00737,PV2,36,1,ID,,0136,3.4.4.36
Baby Detained Indicator ,00738,PV2,37,1,ID,,0136,3.4.4.37
Mode of Arrival Code ,01543,PV2,38,250,CE,,0430,3.4.4.38
Recreational Drug Use Code ,01544,PV2,39,250,CE,Y,0431,3.4.4.39
Admission Level of Care Code ,01545,PV2,40,250,CE,,0432,3.4.4.40
Precaution Code ,01546,PV2,41,250,CE,Y,0433,3.4.4.41
Patient Condition Code ,01547,PV2,42,250,CE,,0434,3.4.4.42
Living Will Code ,00759,PV2,43,2,IS,,0315,3.4.4.43
Organ Donor Code ,00760,PV2,44,2,IS,,0316,3.4.4.44
Advance Directive Code ,01548,PV2,45,250,CE,Y,0435,3.4.4.45
Patient Status Effective Date ,01549,PV2,46,8,DT,,,3.4.4.46
Expected LOA Return Date/Time ,01550,PV2,47,26,TS,,,3.4.4.47
Expected Pre-admission Testing Date/Time ,01841,PV2,48,26,TS,,,3.4.4.48
Notify Clergy Code ,01842,PV2,49,20,IS,Y,0534,3.4.4.49
Query Tag ,00696,QAK,1,32,ST,,,5.5.2.1
Query Response Status ,00708,QAK,2,2,ID,,0208,5.5.2.2
Message Query Name ,01375,QAK,3,250,CE,,0471,5.5.2.3
Hit Count ,01434,QAK,4,10,NM,,,5.5.2.4
This payload ,01622,QAK,5,10,NM,,,5.5.2.5
Hits remaining ,01623,QAK,6,10,NM,,,5.5.2.6
Query Tag ,00696,QID,1,32,ST,,,5.5.3.1
Message Query Name ,01375,QID,2,250,CE,,0471,5.5.3.2
Message Query Name ,01375,QPD,1,250,CE,,0471,5.5.4.1
Query Tag ,00696,QPD,2,32,ST,,,5.5.4.2
User Parameters (in successive fields) ,01435,QPD,3,0,var,,,5.5.4.3.3
Query Date/Time ,00025,QRD,1,26,TS,,,5.10.5.3.1
Query Format Code ,00026,QRD,2,1,ID,,0106,5.10.5.3.2
Query Priority ,00027,QRD,3,1,ID,,0091,5.10.5.3.3
Query ID ,00028,QRD,4,10,ST,,,5.10.5.3.4
Deferred Response Type ,00029,QRD,5,1,ID,,0107,5.10.5.3.5
Deferred Response Date/Time ,00030,QRD,6,26,TS,,,5.10.5.3.6
